sender,addressee,from,testo,date,lettere
Iacopo Ammannati Piccolomini,Vespasiano da Bisticci,Montegufoni,"James, cardinal of Papia , greets Vespasian .

Dear brothers and sisters. I have already written and corrected all of Plato's Phedone that you lent me , and I lack to write: why, taking the security used in you, I most earnestly ask you to make me have, if possible, the Gorgias or the Epistles sue, or almancho el Thimeo , that is, he has translated himself for Messer Leonardo. You will be the reason that I don't waste time, because up here I enjoy writing no less than reading, and it seems to me that I have leftover everything that I do there. And the sooner you send it to me, the more I will be obliged to you. And give it, for the less of your trouble, to Andrea Comber, who lives in Piero Acciaioli 's little house and who will perhaps give you this letter, because he often comes to see us. It is young to entrust everything to him. Please let me know if this is anything new, and what follows from the study, because everything will be very welcome to me. I will send you some becchafichi , if there are any.

But this year we have seen very few of them, and a great many here up among these little hills where the wind can blow a lot. You will therefore have patience, like us. The offers of coming to see us have already been made several times; el put to executione is now up to you.

For my part , give my regards to Jacopo de' Rossi and Domenico di Carlo , and in primis my Ser Pellegrino . And ask me at Goro da Legnaia as much as you can . Nor anything else for this one. Dominus tecum.
the 5th of September .",1444,41
Donato Acciaiuoli,Vespasiano da Bisticci,Montegufoni,"Vespasiano mio dolcissimo, le lettere le quali per Andrea linaiuolo ci mandasti sono state a noi tutti molto grate et gioconde, ma certamente più grata ci sarebbe stata la venuta tua, la quale con somma letitia tutti aspectavamo: il perché molto ci duole che le tue occupationi ci abbino impedito et toltoci un pocho di consolatione della tornata tua. E ringratiamenti ci fai in nessuno modo si convenghono; più tosto da dovere essere colpati noi, che non facemmo quello meritava l'umanità tua. Fucci el buono animo et la buona volontà: il perché penso ci avessi per schusati.

Delle lode scrivi di me nella tua lettera, certamente el desiderio et l'amore - el quale spesse volte rende giudicii falsi assai te ne 'nghanna; peroché pensi quelle virtù essere in Donato tuo, le quali sono certo disiderresti fussono.

Altro al presente non achade, se non che Christo ti conservi et rimanditi a noi presto. Questi pochi versi ho scripto colla penna dell'ariento, la quale mi fu molto grata insieme co' calami.

Vale. Die 28 septembris.",1446,1
Vespasiano da Bisticci,Iohannes Caldarifex de Monthabur,Firenze,"Suscepi nuper litteras tuas, quibus nescio quid gratius suscipi a me poterat. Intelligo enim quanta sit tua erga me benivolentia, ut animus promptus obsequi voto meo, pro qua quidem re ago tibi gratias immortales. Iis vero certior sum factus creationem Cardinalium tibi impedimento fuisse quominus Sanctitatem Domini Nostri visitaveris; perturbata enim esse omnia, neque Scriptores neque Signatores domi adhuc esse susceptos. Que quidem documenta eiusmodi sunt, ut haud sciam an prudentius sit sperare quam timere. Deus fortunet res nostras. Tu vero ex secundis litteris fac aliquid sentiam de negotio amborum. Domino Joanni et reliquis amicis et de litteris et de re tua dixi id quod desiderabas, sed ille asserit litteras se misisse. De Cardinalibus que scribis mihi gratissima sunt: viri enim habentur probatissimi et digni qui ad talem dignitatem, assumerentur.

Vale. Ego me tibi et rem meam commendo plurimum.",1448,4
Giannozzo Manetti,Vespasiano da Bisticci,Firenze,"Egli è più dì ch'io ricevetti una tua, alla quale non ho potuto prima fare risposta per molte et varie occhupationi publice di questa nostra benedecta città, le quali quanto più fuggho, tanto più a ghara mi corrono dietro. Et io vorrei pure in queste cose gratificare a Dio, al quale io sono certo che lle piacciono grandemente, et satisfare a me medesimo et al debito che mi pare avere verso la patria, poiché la m'ingenerò, che Idio gliel perdoni, ch'ella m'ha dato et dà et darà sempre bigha; et io ho facto, fo et farò durante la vita il contrario a llei sine intermissione, benché lui paia essere certo ch'io non abbi avere né altro grado né altro merito che l'usato. Pure nientedimeno io spero et confidomi nell'eterno giudice qui non mentitur, et retribuet unicuique secundum opera sua, et qui scrutatur corda et renes, Deus.

Et per questa cagione io vi metto tempo assai, per non lasciare alchuna cosa adietro che s'appartengha o alla degnità di qualunque magistrato io habbia, o a qualunche commissione mi sia facta. Et quando io mi trovavo degli Otto al tempo degli altri Priori, ne fe' parecchi pruove, peroché in verità in quel tempo l'ufficio nostro governava il tutto; et poi, al tempo de' presenti, ho avuto anchora circa all'ordinatione s'è presa de' facti del Comune pur delle brighe et noie assai. Et pertanto ti priegho m'ametta la schusa del non t'avere prima risposto.

Tu prendi scusa del non m'avere scripto prima, la quale in verità è molto gentile et è dirittamente oratoria. Et benché tu sia dotato di buono ingegno più che non si richiede all'arte et alla professione tua, credo nientedimeno che tu l'abbi presa più tosto dall'artificio che dalla natura: che mi piace assai, perché intendo che a un tracto tu faccia un viaggio et parecchi servigi, perché tu fuggi la morìa consolandoti cogli amici e 'mpari le cose gentili da cotesti gharzoni, che in verità sono una coppia la quale è, come dice el poeta, rara avis in terris nigroque simillima cigno. Preterea tu impari quell'arte che fa i suoi professori avanzano gli altri huomini. Hoc enim, ut inquit Cicero, prestamus vel maxime feris: quod loquimur inter nos et quod exprimere dicendo sensa possumus. Et alibi verba hec ponit: Ac mihi quidem videntur homines, cum multis rebus humiliores et infirmiores sint, hac re maxime bestiis prestare: quod loqui possint. Quare preclarum mihi quiddam videtur adeptus qui, qua re bestiis homines prestent, ea in re hominibus ipsis antecellat.

Siché io mi rallegro teco di tutte queste tue comodità, et prego Idio che te le conservi, accrescha et dìetene lungha consolatione; et te conforto a seguitare nel buono et laudabile proposito.

Tu di' non m'avere scripto benché n'avessi et voglia et desiderio solamente perché quando tu consideravi d'avere a scrivere ad me, il quale tu riputi sì docto et sì valente, che tu dubitavi non ti fusse imputato a presumptione lo scrivermi; et etiandio avevi sospecto di non satisfarmi nello scrivermi. Ad che ti rispondo che, ben ch'io cognoscha che questo sia un gentile colore rethorico, nientedimeno quando e' fusse come scrivi tu sai bene che noi siamo amici, et che la buona amicitia, quale io credo che sia la nostra non può essere nisi inter pares. Siché, quantunque per aventura io mi trovassi avere qualche prelatione più di te in genere eruditionis et doctrine, per rispecto nientedimeno della nostra amicita tra noi cape ogni cosa. Et se pur avessi quella opinione di me che tu scrivi che potrebbe essere più tosto per la grande et singulare affectione che tu m'hai portato et porti, che per altro rispecto te ne ringratio et rimàngotene assai obligato. Facis enim amice. Et basti quanto a questa parte.

All'altra dove tu mi richiedi che io t'avisi chi fu prima o Moysè o Homero, ti rispondo che, benché et della patria et de' tempi apunto

della natività d'Homero si diano varie et diverse opinioni degli scriptori greci et latini, nientedimeno egli è certo supputata temporum ratione, que quidem, ut inquit Hyeronimus, cronica historia continetur che Moysè fu assai prima che Homero, secondo qualunque opinione s'avesse de' tempi della sua natività. Et nota la ragione chiara che si trahe d'Eusebio De temporibus, il quale il trahe del libro del Genesi: Moysè nasce dopo la creatione de mondo anni circa 3600, a cuius quidem nativitate usque ad captivitatem Troie sono circa d'anni 410, perché la captività di Troia fu nel quattromiladieci a creatione mundi; et Homero nella su Yliade scrive de bello Troiano, de obsidione urbis et de eius captivitate,siché convenne che necessariamente e' fusse poi, quando come poeta simile allo historico ché in quel poema egli è mezo historico describit bellica Grecorum et Troianorum gesta. Necessario di sapere è adunche che Moysè fusse innanzi a Homero, et per questa cagione mi pare avere satisfacto alla tua richiesta.

Ma, se tu desiderassi quanto tempo la natività di Moysè precedesse quella d'Homero, ti dicho che questo è più difficile, per le varie et diverse opinioni che n'hanno gli scriptori, che forse non sono in minore numero che quegli che scrivono della patria sua, peroché non solo quegli de' quali fa mentione Tullio nella oratione Pro Archia poëta, ma etiandio septe città contendono della patria d'Homero. Et Tullio non fa mentione se non di quattro his verbis:

Homerum Colofonij civem esse dicunt suum, Chij suum vindicant, Salaminij repetunt, Smirnei vero suum esse confirmant; permulti alij preterea pugnant inter se atque contendunt. Et appresso a' Greci si truova la varietà di septe città, come io ho decto. Il Bocchaccio nelle sue Geneologie ne fa expressa mentione, et contale in questi due versiculi, tracti di non so che poeta greco: Samos, Smirne, Chios, Colofon, Pilos, Argos et Athene de Homeri patria, contendunt. Et perché tu possa considerare quale è maggiore o minore varietà degli scriptori o della patria o della natività sua, ti porrò inanzi le parole che scrive Eusebio in libro De temporibus, cuius hec verba sunt: Quodam commemini codicis loco Pyrrus Delphis in templo Apollinis ab Horeste occiditur proditione sacerdotis Macarei, quo tempore quidam Homerum fuisse dicunt. Et poco più giù anni circa di 50 scrive in questa forma: Anno mundi octuagesimo millesimo quarto - che nel 4080 Homerus, secundum quorundam opinionem, his fuisse temporibus vindicatur. Quanta vero de eo apud veteres dissonantia fuerit, manifestum esse poterit ex sequentibus. Quidam eum ante descensum Heraclidarum ponunt, Aristoteles post centesimum annum Troiane captivitatis, Aristarcus Jonica emigratione sive post annos centum, Phiheorus emigrationis Jonice tempore sub Arseippi Atheniensium magistratu et post captam Troiam anni centum octuaginta, Apollodorus Atheniensis post ducentesimumbquadragesimum annum eversionis Ylij. Extiterunt alij qui modico tempore antequam Olimpiades inciperent, quadringentesimo circiter Troiane captivitatis anno, eum fuisse putent, licet Archilocus vigesimatertia Olimpiade et quintum Troiane eversionis annum supputet.

Haec Eusebius. Ex quibus palam et aperte Moysem longe Homericae nativitatis tempora precessisse et non minorem forte diversorum opinionis veterum scriptorum varietatem de nativitate quam de patria sua extitisse colligitur. Peroché, se le predette septe città contendono tra lloro della patria d'Homero, similmente troverrai septe varie opinioni della sua natività, come di sopra manifestamente apparisce.

Hora io t'ho scripto in fretta et senza troppa consideratione, et però dubito di non t'avere così bene satisfacto come tu disiderresti. Imputalo alle occupationi, quibus undique tanquam molibus et obicibus quibusdam opprimor; sed Deus, ut spero, qui non deserit sperantes in se, adiutor erit in tribulationibus quae varie et omnifariam hinc inde circumferuntur. Et habbi patientia alla lunghezza della lettera, colla quale io ho voluto ristorare la tardità della risposta.

Vale et meo nomine meisque verbis plurimas salutes Jacobo, Petro et Donato precipuis et singularibus amicis et necessariis nostris dicito. Iterum vale et me ut soles ama.",1449,6
Giannozzo Manetti,Vespasiano da Bisticci,Vacciano,"Dici non potest, Vespasiane suavissime, quantum tua eruditione delecter, quantumque te cupiam fieri sapientem: non adumbrata et seculari sapientia, quae apud Deum rite stultitia appellari solet, sed potius vera illa ac divina, quae accurata quadam sacrarum litterarum cognitione vel maxime continetur, quaeque sola cultores suos et viventes ex homunculis dignissimos viros efficit, et mortuos quoque, vitae probitate condita, ex miseris ac defunctis beatos immortalesque reddit. Quocirca litteras tuas summa propterea alacritate perlegi, quoniam singularem quendam et precipuum divinarum rerum gustum continere ac pre se ferre videbantur.

Due enim ambiguitates, quantum nos ex diligenti predictarum litterarum lectione intelligere ac percipere potuimus, de parvulis ante Baptismum defunctis tibi ex responsionibus nostris suboriebantur.

Salutiferam nanque Jesu Christi Domini nostri mortem usque adeo pretiosam fuisse existimas, ut parvulos, licet originali duntaxat labe coinquinatos, mundare ac salvare posset, quos neque in Patrem neque in Filium neque etiam in Spiritum Sanctum, iuxta illam celebratam Evangelii sententiam, peccasse constat. Nos igitur tibi, egregio et peculiari amico nostro, ut par est, obsequi ac morem gerere cupientes, predictis interrogationibus tuis breviter respondebimus. Nam latissimus nobis ad pervagandum campus ostenderetur, si hec ipsa paulo latius exornare atque oratorio more uberius explicare vellemus: quod non tam vitandi laboris, quam minuende opinionis causa, quae de scriptorum nostrorum prolixitate ab imperitis, ut mihi videtur, hominibus habetur, de industria vitavimus. Si itaque tibi in tantis et tam magnis rebus, quemadmodum diximus, breviter respondebimus, nec tibi, ut arbitror, nec certe nobis satisfaciemus. Ampla quippe et ardua, nisi forte quedam mercatoria et institoria negotia, concise simul atque eleganter tractari explicarive non possunt.

Sed de his alias. Nunc ad interrogationes tuas breviter accedamus.

Meritum Passionis Christi in se ipso tantum ac tam magnum fuisse concedimus, quantum dici excogitarive potest.

Tantum enim extitisse constat, ut omnes homines ex peccato originali antea damnatos absque ulla hesitatione redimeret, redemptosque salvaret; omnes inquam homines, quicunque vel lege naturali bene probeque vixerant, vel scripta ac veteri per Circumcisionem, vel evangelica ac nova per Baptismum, preceptis sacramentisque suis paruerant, nisi iam parvuli et infantes extitissent, quibus solis ante lationem legis divina et infinita benignitas, et postea Circumcisio, ac denique Baptismum ex precipuis et innumerabilibus Christiane Passionis meritis premiisque ad perpetuam quandam et aeternam eorum salutem sufficere videbatur. Siquidem omnes cuiuscunque aetatis homines in gratia Dei defuncti, quodam loco a caeteris facinorosis perditisque mortalibus separato, usque ad preciosum Domini nostri patibulum servabantur: e quo quidem loco, veluti ex obscuris et tenebrosis carceribus per Dominicam mortem in lucem erutos et extractos, in caelo, certo quodam beatorum spirituum receptaculo, ex sacra Lectione collocatos esse cognovimus. Ceterum post scriptas veterem novamque leges tam salutiferam ac tam preciosam Domini nostri Passionem nemini profuisse credimus, qui nulla veteris ac novae legis Circumcisionis saltem ac Baptismi precepta sacramentave servassent. Sed quoniam parvulos sine Baptismate defunctos prima nove legis sacramenta nequaquam adimplesse intelligimus, eis predictam Christi mortem nullatenus prodesse potuisse concedimus.

Atque ad primam interrogationem tuam brevius quam voluissem in hunc modum respondisse sufficiat. Ad secundam vero de evangelica auctoritate ad quandam defunctorum parvulorum excusationem ac defensionem abs te allegata brevissime respondebimus. Proinde id ipsum de peccato actuali, non de originali, intelligendum, ac sic explanandum esse censemus. Etsi infantes ante Baptismum defuncti neque in Patrem neque in Filium neque in Spiritum Sanctum peccaverunt, quod facile concedimus, non tamen exinde consequens esse videtur ut a labe originali immunes evaserint: cuius reatu ut theolog<ic>o verbo utamur quicunque nascuntur infecti ac coinquinati, non immerito damnari creduntur, nisi iam vel divina benignitas, vel Circumcisio, vel Baptismus miserabilem prorsus et infelicem eorum mortem prevenerit, quemadmodum in epistola nostra, quam de his rebus alias ad te scripsimus, latius et uberius explicavimus ac paulo superius commemoravimus.

Atque haec habuimus quae interrogationibus tuis breviter responderemus. In quo quidem, si forte tibi penitus non satis fecerimus, quod fore existimamus et credimus, vane imperitorum et ignavorum hominum opinioni attribuas velim, cui interdum cedere et obsequi oportere veteres sapientes tradidere.

Et se così è, abbi patientia tanto che con la voce viva io ti possa ristorare, et allora abbondantemente suppliremo a ogni manchamento.

Et spero sarà presto, perché il nostro Agnolo Baldesi et io abbiamo diliberato di venirvi a vedere et starci un dì con voi, quando e' fia tornato di Mugello. Et io vi vengho volentieri ogni rispetto, et spetialmente per ritrovarmi un poco con Dietisalvi, il quale ti priegho saluti et conforti per mia parte in quel modo et in quella forma ti pare richieggha le laudabili conditioni della sua persona et la singulare affectione che, come tu sai, gli porto. Vale et me ut facis ama.",1450,7
Giannozzo Manetti,Vespasiano da Bisticci,Vacciano,"Honorevole come fratello et caetera. Ne' dì passati ricevetti una tua de dì 2 di questo, la quale mi die' et piacere et consolatione assai, perché chiaramente compresi quanta era l'affectione tua verso di me, scrivendo sì teneramente et con tanta carità quanto fai. Illud enim iamdudum tritum vetustate proverbium mihi inter legendum occurrebat, quo dici et predicari solet quod ex abundantia cordis os loquitur.

Ringràtioti di tanta affectione. Né altro per al presente ti posso fare che offererti di risponderti in questa benivolentia colla medesima carità; direi maggiore, se io vi credessi potere aggiugnere, perché io cognosco sarei obligato ad farlo non altrimenti che cholui che prima riceve il beneficio, il quale, secondo la sententia de' philosophi, è obblighato a renderne uno maggiore che quello che ricevette. Sed hec hactenus, presertim inter nos, quorum veram et vetustam amicitiam multis et variis experimentis iam pridem approbatam et confirmatam fuisse constat.

Ho inteso et bene gustato tutte le parti della predecta tua, alle quali non acchade di fare altra risposta, se non di tutto lodarne et ringratiarne Idio, et pregharlo ci degni concederci tanto della sua gratia, che noi possiamo conservare questa sancta opera della pace, alla quale io sono molto bene disposto ad farne ogni et qualunche cosa, quello pocho del tempo che io ci ho a stare, che desidero venirne presto, perché ho parecchie faccende d'importanza che continuamente mi tirano. Spero che le cose anderanno bene.

De' facti di Ser Giovanni d'Aversa se ne die' commessione agli ambasciadori et fecesene la commessione <che> sai. Et perché io ho veduto una lettera che Francho scrive a Bartolomeo Serragli, dove gli conta più cose (infra l'altro dice che 'l facto suo è in tutto spacciato), però non m'è paruto darmene altra brigha.

Rachomandami a messer Agnolo et al compare Dietisalvi, et saluta Piero et Donato per mia parte. Sono a' piaceri tuoi. Christo di male ti guardi.",1451,8
Niccolò Perotti,Vespasiano da Bisticci,Bologna,"Egregie tanquam frater carissime. Perché dite non havere havuta la lettera del cambio, di che molto mi maraviglio, ve ne mando un'altra qui inclusa di fiorini 18 larghi, come domandate. Siché tollete le Epistole et legatele di nuovo, et fate siano coperte o di nero o di morello, stampate più magnificamente si può, et mandatemi a dire la spesa, che subito vi manderò i denari. Se mai legherete libro bene, fate questo sia quello. Ma sopra tutto vi priegho facciate ch'io l'abbia presto, perché n'ho grandissimo bisogno. Et fate sia dato in mano di Messer Giuliano Coppino.

Maravìgliomi che oramai el Donato non sia compiuto. Avisatemi particularmente in che termini sta, sì esso come gli altri due, et per Dio sollecitategli.
Vorrei sapere se chostì si troverrebbe chi potesse scrivere et figurare bene quella Geometria et Musica, et che potrebbe montare tutta la spesa.
Item se vi si trova Donato sopra Terentio. Item vorrei mi mandaste uno inventario di tutte le Vite di Plutarco <che> si trovano traducte chosti. Non si potendo chostà scrivere la Geometria, se si potesse per vostro mezzo haverla in presto per qualche tempo qua mi sarebbe singularissima gratia.
Altro non mi occhorre. Sono apparecchiato a tutti li vostri piaceri. Expecto l'Epistole con desiderio.",1453,9
Niccolò Perotti,Vespasiano da Bisticci,Bologna,"Egregie tanquam frater, ho ricevuta vostra lettera et inteso quanto scrivete. Al facto dello Homero, vi mando la lettera per parte di Nostro Signore. Presentatela voi medesimo, et ditegli che Nostro Signore vi scrive domandiate el decto libro per farlo scrivere et cetera. Per Dio, se mai mi faceste a piacere, fatemi questo: che lo facciate scrivere in octo dì, come dicete. Et leghatelo in carte, incollate coperte di chuoio, et mandatemelo subito. Ma, come dite, fate che ciaschuno riveggha el suo quinterno, accioché non sia falso.

Li denari del rilegharlo siano a mie spese; et fatelo secretamente, i come dite. Parmi una hora mille, per buono rispecto. Increscemi sia stato bisogno le Vite siano di due mane; ma pure, da poi che è facto, isforzatevi almancho ch'io l'abbia presto.

I libri de' quali mi scrivete ho tutti, excepto la Politica, la quale se potete avere per 8 ducati mandatela subito a messer Giuliano Coppino, et darogli i danari. Più di 8 ducati non voglio spendere.

Dovendola dare per octo, mandatela presto, perché lunedì, cioè a' 28 di questo, io la debbo cominciare a leggere. Se voi potete mandare li Comentarij di Cesare fin qui, l'arei caro, con questo: che, se mi piacessono, li togliessi; non mi piacendo, paghassi, el vetturale et rimandasseseli.

El Polibio mio non posso mandare, perché non ho se non uno squadernato, et con quello ne fo scrivere uno pel Signor Malatesta da Cesena, et uno per messer Piero da Noceto. Se vi paresse di scrivere a messer Giuliano Coppino che ve ne facesse scrivere qui uno di lettera corrente, io gli presterei l'exemplo. Io per molte occupationi non li posso attendere. Christo vi guardi.",1454,10
Giannozzo Manetti,Vespasiano da Bisticci,Roma,"Il primo et solo de' nostri ch'io avisassi come io m'ero achoncio colla Maestà del Re fusti tu, col quale io ho volentieri comunicato tutte le mie faccende di maggiore importanza; et chosì è mia intentione di perseverare per l'avenire, benché io sia absente, per la fede et charità che io ho sempre trovata in te. Et però mi dispiace che della lettera non fusse facto quel servigio che io desideravo. Pure, poi che tu l'hai avuta, ne sono contento.

Io attendo m'abbi serbato i libri di che ti richiesi, et chosì disidero che tu satisfacci ad una voglia che m'è venuta: d'avere e testi buoni colle chiose di ragione civile et canonica. Et però t'aviso che io gli vorrei buoni et colle chiose. Ma vorrei averne a piacere, et ho caro l'aviso mi dài d'averne de' buoni nell'una facultà et nell'altra, et spetialmente di Messer Valasco. Et pertanto circa a questa parte conchiudo che tu t'ingegni ch'io gli abbi per pregio ragionevole et con qualche piacere, di che ti resterò singularmente oblighato. Et anchora vorrei che tu mi trovassi un buono scriptore. Fallo, che te ne priego.

Io ebbi molto caro che Piero pigliassi sicurtà in me nel dare commissione che si comperassino que' due volumi et di Celso et dell'Epistole ad Atticum, et secondo mi paresse si paghasse il prezo, perché disidero compiacergli in qualunche cosa possibile. Et però incontanente che Giovanni Tornabuoni mi fece l'ambasciata per sua parte, andamo alla bottega di Giovanni et di Francesco cartolai, et trovamo che non haveva l'Epistole, ma sì el Cornelio, et era a vedere da chi ne dava ducati 18. Facemo si riebbe. Et non ne volendo meno che ducati 22, me n'achozai con Matteo Baroncegli che n'ha la cura di vendergli, et ridussilo a ducati 20 di camera, et così s'è comperato.
Et benché paia un poco caro, nientedimeno il volume e di qualità che gli è bello et buono et vagli. Et tanto cerchamo et tanto investigamo dell'Epistole, che noi le trovamo nelle mani d'Ambruogio Spannochia, che l'ha <a> pegno dall'Arcivescovo di Spalatro nipote che fu del Vicecancelliere; et non si possono vendere sanza sua licentia. Et benché di tutto et Giovanni et io n'avisiamo Piero, nientedimeno mi pare utile che tu gli riferisca quanto in questo capitolo si contiene.
A' piaceri tuoi. Che Christo di mal ti guardi.",1456,12
Giannozzo Manetti,Vespasiano da Bisticci,Napoli,"Poiché ne' giorni passati ti scripsi del gran fragello d'uno spaventevole et inusitato tremuoto, che sabato a dì 4 di questo, di nocte, in su 11 hore, apparì in gran parte di questo paese, con tanti danni di rovine di case, di palagi, di chiese, di sobissamento di terre, di castella et di città, et con grandissima occisione d'huomini, ricevetti la tua con la 'nformatione de' gesti del nostro messer Giannozo Pandolfini. Et inteso la voglia tua et la richiesta mi fai dello scrivere oratione funebre, ti lodo et commendo della singulare affectione portasti a' costumi et alle virtù sue.

Et perch'io mi trovo in simil grado d'affectione, sono contento pigliarne la faticha dello scrivere, sì per sodisfare al debito della affectione gli portavo, sì anchora per compiacerne a te, considerando la maniera della richiesta me ne fai. Et però ho avuta chara la informatione mandatami.
Ma perché sono cose da scriverle con qualche dignità, altrimenti farebbono il contrario effecto al disegno se ne fa, vorrei m'avisassi di due cose intra l'altre: la prima, del tempo che nacque; et la seconda, del nome della donna sua; et chosì anchora se ti paresse avere lasciato indrieto cosa alchuna degna di memoria. Et incontamente ch'io n'arò la 'nformatione, in forma tale te la manderò scripta, ch'io credo mostrare a te et a qualunche altro la singularità dell'affectione gli portavo, come per experienza vedrai.
A' piacer tuoi. Che Christo di mal ti guardi.",1456,14
